INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Lithgow Surrounds,0,0,4,3,3,15,12,11,11,9,7,18,6,5,104,1505.048077,1505,"$1,500-$1,749 ($78,000-$90,999)"
Mudgee,0,0,3,0,11,10,19,26,31,20,19,39,6,24,208,1731.850962,1731,"$1,500-$1,749 ($78,000-$90,999)"
Mudgee Surrounds - East,0,0,0,0,0,0,6,4,6,3,0,0,0,0,19,1211.842105,1211,"$1,000-$1,249 ($52,000-$64,999)"
Mudgee Surrounds - West,0,0,0,4,7,10,22,21,15,10,20,13,6,7,135,1568.518519,1568,"$1,500-$1,749 ($78,000-$90,999)"
Wollangambe - Wollemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blayney,0,0,0,0,0,3,13,17,14,27,18,20,5,9,126,1796.626984,1796,"$1,750-$1,999 ($91,000-$103,999)"
Orange,0,0,4,4,14,15,30,68,76,90,86,119,32,67,605,1905.785124,1905,"$1,750-$1,999 ($91,000-$103,999)"
Orange - North,0,4,0,5,15,29,37,77,104,165,133,164,25,79,837,1865.710872,1865,"$1,750-$1,999 ($91,000-$103,999)"
Orange Surrounds,0,3,0,0,9,17,24,37,43,26,31,53,9,43,295,1828.474576,1828,"$1,750-$1,999 ($91,000-$103,999)"
Grafton,0,0,0,0,13,16,26,47,59,48,47,63,21,30,370,1792.837838,1792,"$1,750-$1,999 ($91,000-$103,999)"
Grafton Surrounds,0,0,3,7,12,13,36,39,28,25,32,46,7,10,258,1550.096899,1550,"$1,500-$1,749 ($78,000-$90,999)"
Maclean - Yamba - Iluka,0,0,6,6,9,30,36,44,36,52,37,48,5,26,335,1604.104478,1604,"$1,500-$1,749 ($78,000-$90,999)"
